date,base,EUR,USD,JPY,CAD,GBP,NZD,INR
2021-05-20,EUR,1,1.222529,133.075973,1.474804,0.861822,1.698881,89.271684
2021-05-08,EUR,1,1.216325,132.074698,1.476047,0.870389,1.67181,89.101284
2021-05-13,EUR,1,1.207715,132.264722,1.469686,0.859591,1.681568,88.700809
2021-05-15,EUR,1,1.21459,132.845829,1.470663,0.861411,1.678033,89.004067
2021-04-30,EUR,1,1.20195,131.373739,1.477203,0.869938,1.678115,89.05909
2021-05-11,EUR,1,1.214528,132.027104,1.46916,0.859078,1.672102,89.116431
2021-05-05,EUR,1,1.200626,131.135982,1.472977,0.863191,1.663246,88.605798
2021-05-09,EUR,1,1.217464,132.147753,1.474896,0.867059,1.668674,89.228573
2021-05-23,EUR,1,1.218173,132.688324,1.470274,0.861365,1.698481,88.817078
2021-04-28,EUR,1,1.213582,131.702729,1.493137,0.869671,1.669392,90.183759
2021-05-19,EUR,1,1.217144,133.002169,1.47673,0.862888,1.699394,89.123101
2021-05-21,EUR,1,1.218,132.670698,1.469627,0.860747,1.68999,88.804994
2021-05-16,EUR,1,1.215059,132.93716,1.471844,0.861684,1.677541,89.038524
2021-05-22,EUR,1,1.218125,132.684314,1.469778,0.860835,1.690163,88.814108
2021-05-25,EUR,1,1.22481,133.267865,1.477917,0.866057,1.69559,89.172476
2021-05-10,EUR,1,1.214033,132.122885,1.468343,0.85925,1.670133,89.231753
2021-05-26,EUR,1,1.218762,133.0321,1.476341,0.863121,1.673141,88.618655
2021-05-14,EUR,1,1.214442,132.829696,1.470484,0.861307,1.677829,88.993258
2021-05-07,EUR,1,1.2165,132.102759,1.47626,0.869861,1.671223,89.113781
2021-05-06,EUR,1,1.20655,131.573011,1.466616,0.868305,1.668164,88.82072
2021-05-12,EUR,1,1.207839,132.452214,1.463962,0.858852,1.685996,88.995803
2021-05-18,EUR,1,1.222217,133.07496,1.475456,0.861462,1.688542,89.374958
2021-05-02,EUR,1,1.202841,131.462097,1.477107,0.870382,1.677693,89.124572
2021-05-01,EUR,1,1.201995,131.378659,1.477072,0.869971,1.678178,89.062425
2021-05-17,EUR,1,1.215769,132.79114,1.466642,0.859439,1.684028,89.079298
2021-05-24,EUR,1,1.221452,132.962325,1.471788,0.86284,1.692706,88.966699
2021-05-04,EUR,1,1.20145,131.360562,1.478084,0.864984,1.677627,88.641958
2021-04-29,EUR,1,1.212511,132.024838,1.488533,0.869146,1.673192,89.854378
2021-04-27,EUR,1,1.208949,131.475577,1.499804,0.869416,1.678123,90.157405
2021-05-03,EUR,1,1.205984,131.561404,1.481015,0.867428,1.675636,89.047151
